number,reason
6.0,"Jest spore ryzyko, że suma wszystkich pięciu cyfr będzie większa od 50. Wtedy każdy będzie mnożył swoją liczbę razy liczbę ujemną, więc korzystnie będzie mieć jak najmniejszą liczbę. Równocześnie chce “dołożyć się” do sumy, aby faktycznie przekroczyła 50, stad 6"
12.0,"Liczę na to, że pozostali uczestnicy podadzą liczby z bezpiecznego przedziału 6 - 9"
9.0,"Mój wynik to x1*(50-P-x1), gdzie P to suma wyborów pozostałych osób. Jest to funkcja kwadratowa, która ma maksimum dla x1=(50-P)/2. Zakładając, że pozostali gracze też to wyliczyli x1=(50-4x1)/2, czyli x1=25/3=8,(3). Czyli, jeżeli liczba ma być całkowita to najbliższa jest 8. Dlatego wybrałam 9, bo jeżeli pozostali wybrali 8, to mój wynik wynosi 81."
-1.0,"Zauważmy, że jak suma liczb innych osób przekroczy 50, to S zejdzie na ujemne. Wtedy pomnożenie mojej liczby przez S da wynik dodatni. Liczę, że nikt nie pomyśli poza pudełkiem oraz każdy pójdzie na chciwość z wielkością swojej liczby."
1.0,"Przejdzie na liczby ujemne i wtedy wszyscy będą mieli wysoki mnożnik, co sprawi że będą mieli niski wynik, a ja nie"
8.0,"50-8*5=10, 10*8... Jest blisko x^6 co jest na ogół dobrym rozwiązaniem w optymalizacji. Jeśli inni gracze zagrają źle,to i tak nic z tym nie zrobię"
-1.0,daje liczbę ujemną i liczę na to że inne osoby dadzą za duże liczby typu 20 15 10 10 co spowoduje że S będzie ujemne a co za tym idzie tylko mój iloraz x×S będzie dodatni
4.0,"Napisałam wzór funkcji, a potem ją narysowałam"
9.0,"Wybrałem 9, ponieważ inne osoby również chcą uzyskać maksymalny wynik. Jeżeli każdy wybrałby liczbę większą niż 9, suma wyniosłaby 0 lub była ujemna, a nie taki jest cel. Jednocześnie przez mnożenie na końcu przez moją liczbę powinna być ona możliwie duża, dlatego 9 wydaje mi się optymalnym rozwiązaniem."
9.0,"Wybrałem 9, bo w tej grze wynik to iloczyn x*S, a nie samo utrzymanie wysokiego S. Bardzo małe liczby (np. 1) faktycznie zostawiają duże S, ale jednocześnie dają mały mnożnik, więc ktoś z umiarkowanie większą liczbą może łatwo uzyskać znacznie lepszy wynik. Z kolei bardzo duże liczby są ryzykowne, bo szybko obniżają S (a nawet mogą zrobić je ujemnym), co psuje wynik. Ponieważ wybór jest jednoczesny i tajny, nie znamy sumy liczb innych osób. Matematycznie najlepsza odpowiedź zależy od tej sumy, ale gdy gracze myślą „racjonalnie”, naturalnie pojawia się wartość w okolicach 50/6 ≈ 8,33. To sugeruje, że część osób, które choć chwilę policzą, będzie wybierać okolice 8–9. Dlatego 9 jest dobrym strzałem: jest blisko punktu, do którego skłania sama matematyka, a jednocześnie jest odporne na typowe zachowania w eksperymencie społecznym (część osób wybierze mało intuicyjnie, część będzie kombinować). W scenariuszu, gdzie inni wybierają nisko, 9 daje wysoki wynik dzięki nadal dużemu S, a w scenariuszu z bardziej agresywnymi wyborami nie jest tak ryzykowne jak bardzo duże liczby."
25.0,"Skoro 50 jest progiem od którego odejmujemy liczby, a następnie mnożymy wynik przez wskazaną liczbę i chcemy uzyskać jak największy wynik, to aby osiągnąć ten cel nie możemy przekroczyć połowy wskazanej liczby 50
"
5.0,Zakładając że wszyscy wybiorą tą samą liczbę to 5 da największy wynik (125)
9.0,"9 to największa możliwa mnożna. Choć większy wynik możnaby uzyskać przy mniejszych x czyli większym S, ale zakładam że nie znam liczb innych osób"
8.0,W zależności od uczestników z ktorymi gramy liczba ta powinna sie roznic. Niezaznajoma osoba wybierze 10 lub wiecej co przelozy sie na ujemną niewiadomą S. Wynik przy wyborze 8 w przypadku S=-1 jest najmniejszy
1.0,"Myślę, że prawdopobne jest, że w gronie 5 osób znajdą się takie, które podadzą dość duże liczby, przez co S będzie ujemne"
0.0,dodatnie i ujemne liczby są nieprzewidywalne i zależą od wyborów pozostałych uczestników
0.0,to najbezpieczniejsza opcja ponieważ gwarantuje brak wyniku ujemnego niezależnie od tego kto da jaką liczbę
0.0,"Daję zero, bo nie wiem co wiedzą pozostałe cztery osoby. Czy one podają dowolną liczbę, czy też mają takie same reguły jak ja (czyli ich zadaniem jest osiągnięcie jak najwyższego wyniku). Liczba zero gwarantuje, że mój wynik nie będzie ujemny. W każdym innym przypadku mogę otrzymać wynik ujemny. Wynik zero plasuje mnie niemal w połowie stawki (liczb ujemnych i dodatnich jest tyle samo)."
20.0,Zakładam że reszta może dać liczbe mniejszą od mojej
10.0,"Na początek rozważyłem co jeśli by podać jakąś dużą liczbę. Myślałem żeby wybrać liczbę 25 by być w połowie, tym optymalnym miejscu przy podliczaniu wyników niezależnie od końcowego S. Jednak przy czterech innych osobach 25 + suma liczb innych osób może w łatwy sposób być większa od 50. Jeśli suma pięciu wybranych liczb przekroczy 50 to wchodzimy na liczby ujemne i wygrywa osoba która podała najmniejszą liczbę. Czyli lepiej jest unikać większych liczb żeby do tego nie doszło, a jak już dojdzie to by być w lepszej pozycji. Później myślałem nad liczbą 15, ale dalej wydawała mi się zbyt wielka. Myślę, że w większości wybierane by były liczby od 1 do 10, choć ja od razu zacząłem myślenie od wielkich liczb więc muszę się liczyć z tym, że ktoś także może na to wpaść. Dlatego myślę że lepiej wybrać liczbę mniejszą niż większą, ale na pewno większą od 9 by wygrać w sytuacji gdzie każdy podał liczbę od 1 do 10. Zastanawiałem się jeszcze trochę nad podaniem liczby ujemnej, ale to przydawało by się tylko, gdy suma liczb czterech innych osób jest większa od 50 + moja ujemna. Myślę że to mało prawdopodobne (przynajmniej za pierwszym razem grając z kimś w grę. Dużo zależy od tego z kim gram i ile razy już grałem z daną osobą). Nie wiem czy gra zakłada możliwość podania ujemnej liczby. Z jednej strony brakuje mi tego zakresu możliwych liczb do wyboru, z drugiej jeśli by to było od razu powiedziane to każdy by sobie z tego zdawał sprawę co zmniejszyłoby moją przewagę."
5.0,"Zakładając że pozostali zakładają racjonalne rozumowanie u innych, powinni podać liczby w okolicy 5. Niektórzy mogą podać liczby wyższe, ale tym bardziej 5 jest o.k."
-1.0,"Jeśli suma będzie powyżej 50 to super bo pewnie każdy na dodatnią, jeśli każdy wezmie ujemne to też wygram a inne przypadki można pominąć ponieważ nie kończ się pozytywnie"
0.0,Nie możemy być pewni znaku jaki będzie miał nasz wynik więc chcemy zagwarantować nieujemnosc czyli bierzemy 0
-3.0,"Ktoś mógłby pomyśleć, że weźmie jak najwięcej, np. 30, żeby mieć jak największy mnożnik. I wtedy jest duża szansa, że S będzie ujemna."
-10.0,"Jest duże prawdopodobieństwo, że suma podanych liczb przekroczy 50, przez co mój wynik będzie jedynym, bądź jednym z nielicznych dodatnich. Stawiam jednak ostrożnie i wybieram wysoką liczbę na minusie, by nie stracić zbyt wiele."
23.0,Sprawdziłem w głowie pare liczb i zauważyłem że po 23 wynik już przestaje rosnąć jednak nie spędziłem dużo czasu nad zadaniem więc nie mam pewności czy wynik jest poprawny 
1.0,"Jesli ja i pozostale osoby wybierzemy 1, wynik koncowy bedzie najblizszy liczbie wyjsciowej (przy zalozeniu, ze wybieramy liczby calkowite)."
10.0,"Zakładam, że liczby wszystkich uczestników będą w okolicach 10, bo każdy będzie zakładał, że przy takich wartościach zbliżymy się do zera lub osiągniemy wartości ujemne. Jeśli tak się stanie, nikt nie osiągnie wyniku wyższego. Jeśli wszyscy przekroczą 10, będę miał najlepszy wynik. "
