number,reason
0.0,"Zakładam że gracze nie wdrażają strategii. Że działają Zgodnie z teorią gier. Jeżeli wybiorą z przedziału od -1 do -nieskończoności to S będzie dodatnie, a następnie przemrożone przez ich ujemną liczbę - wynik każdego gracza mniejszy od zera Jeżeli wybiorą dodatnią od 51 do nieskończoności to S będzie ujemne, czyli wynik każdego gracza mniejszy od zero Wybierając x=0 zawsze będziemy mieli wynik 0, bez względu na chciwość innych graczy. Więcej niż ujemne"
10.0,"Proszę o usunięcie poprzedniej odpowiedzi, myślałem, że to łącznie 4 osoby grają. Tak więc: 50/5, ciąg logiczny analogiczny - jak dam więcej, to mogę mieć ujemny wyniki w rundzie, który będzie najmniejszy. Jak dam mniej, daję innym przestrzeń do zysku większego niż mój"
0.0,"Inni gracze mogą podawać bardzo duże liczby i wtedy S może zrobić się ujemne. W opisie gry brak informacji jaką liczbę można wybrać - dowolną rzeczywistą, czy tylko nieujemną...?"
5.0,jezeli pozostale osoby podadza rowniez cztery to wynik bedzie wysok
8.0,Równowaga
9.0,No ogółem z tego co mi się wydaję ludzię zazwyczaj myślą o liczbie 7 najpierw więc podam 9 bo 50-4*7=32 32-9=23 23*9 > 23* 7. I to tyle chyba
9.0,"Zakładając, że pozostali uczestnicy podawali cyfry od 1-8 to mój wynik będzie najwyższy."
-1.0,"Jeśli suma będzie powyżej 50 to super bo pewnie każdy na dodatnią, jeśli każdy wezmie ujemne to też wygram a inne przypadki można pominąć ponieważ nie kończ się pozytywnie"
5.0,Zakładając że wszyscy wybiorą tą samą liczbę to 5 da największy wynik (125)
-20.0,"Zakładam, że inni podadzą liczby które zsumowane będą większe od 70, wtedy ujemna razy ujemna da dodatnia, może nikt inny nie da liczby ujemnej"
0.0,Fifty-fifty czy liczba S dodatnia czy ujemna
8.33,Jesli każdy da 8.33 to jesteśmy w równowadze nasha
8.333333333333332,Matematyka.
2.0,Gdy jest większa liczba zwiększa się prawdopodobieństwo na liczbę ujemną
0.0,"Inni gracze mogą podawać bardzo duże liczby i wtedy S może zrobić się ujemne. W opisie gry brak informacji jaką liczbę można wybrać - dowolną rzeczywistą, czy tylko nieujemną...?"
5.0,"gdy wszyscy wybiorą taką liczbę to suma będzie względnie duża, a ponadto twój wynik będzie względnie wysoki"
10.0,"gdy wszyscy damy 10 to będzie 0 to da remis
gdy wszyscy dadzą ponad 10 to ja najmniej mnożę ujemną czyli mam najwięcej
gdy wszyscy dadzą poniżej 10 to mam największy mnożnik
gdy wyniki są mieszane to wszyscy mamy tak samo małe szanse a zakładam że wszyscy będą celować w danie czegoś poniżej 10 bo nie będą chcieli zejść do liczb ujemnych"
6.2001,Ponieważ wszyscy dadzą powyżej 11 raczej
10.0,"Zacznijmy od tego, że biorąc 4 losowe osoby i pytając o dowolną liczbę jest małe prawdopodobieństwo na to, że akurat wskażą liczbę ujemną, tym bardziej niecałkowitą. Również wiele osób oprze swoje wyniki o liczby nie większe niż 50 ale większe od zera, ponieważ nie chcą aby wynik był ujemny. Pierwszy naturalnym instynktem ludzkim będzie współpraca w rywalizacji polegająca na nie braniu liczb większych od 10, by wynik nie spadł poniżej zera (Bo wtedy czym większą liczbę dodatnią wybrałeś tym mniejszą uzyskujesz ostatecznie). Dlatego kluczem jest założenie najbardziej prawdopodobnego scenariusza, gdzie każdy początkowo myślał o 7, ale stwierdził, że inni też tak pomyślą i dadzą lekko wyższą. Czemu akurat 7? Ponieważ wydaje się dość dużym mnożnikiem końcowym, i zapewnia to że różnica liczb nie spada poniżej zera. Druga sprawa to, że liczba 7 jest szeroko zakorzeniona w naszej kulturze i kojarzy się pozytywnie z szczęściem. Dlatego na wszelki wypadek wybieram liczbę 10, gdyby jednak inni uznali, że 50/5 = 10, więc dla nich taka liczba będzie idealna, wtedy doszłoby do remisu, a to lepsze niż przegrana. Liczby większe od 10 są ryzykowne, gdy rozpatrujemy to nie znając charakterów swoich przeciwników. Nie ma sensu ryzykować, bo zapewne i tak dadzą 7,8,9,10."
9.0,Otrzymany wynik mnożony przez liczbę 9 gwarantuje najwyższy wynik.pod.warunkiem że otrzymaną suma będzie wyższa niż 0 a pozostałe cztery osoby podadzą liczbę niższa od 9 
1.0,"Jeżeli inni podadzą liczby większe niż moja i wynik wyjdzie ujemny, to mnożąc następnie S przez liczby X1,X2, itd, to ja otrzymam najmniejszą liczbę ujemną, czyli w tym wypadku najwyższą. Zakładając, że nikt nie poda w takim scenariuszu liczby 0."
4.0,"Chce podać jak najmniejszą liczbę, żeby jak najmniej stracić przy odejmowaniu. Z drugiej strony chciałbym dużą liczbę, żeby zyskać przy mnożeniu. Stwierdziłem, że ludzie grający w tą grę też będą chcieli maksymalizować swoje liczby i pójdą podobnym tokiem myślenia. Dlatego muszę wybrać małą liczbę, żeby mało odjąć od początkowej. Ta liczba nie może być też zbyt mała, większa niż przeciętny wybór (żeby wygrać i mieć więcej niż przeciwnicy) dlatego postawiłem na 4."
9.0,"9 to największa możliwa mnożna. Choć większy wynik możnaby uzyskać przy mniejszych x czyli większym S, ale zakładam że nie znam liczb innych osób"
11.0,"Mam nadzieje, że liczba nie wyjdzie poza 50. Nie daje -1, bo ograniczam się do liniowej funkcji uzyskania puntków."
