Sygnatura czasowa,"Zasady gry:
Ty i cztery inne osoby podajecie liczbę. Od 50 odejmujemy sumę wszystkich pięciu liczb. Następnie mnożymy otrzymaną wartość przez podaną przez ciebie liczbę - otrzymujemy twój wynik (wzór poniżej). Twoim celem jest osiągnięcie jak najwyższego wyniku.

Pomocniczy wzór:
x₁: twoja liczba 
x₂,...,x₅ : liczby pozostałych uczestników
S : 50-x₁-x₂-...-x₅ 
Twój wynik : x₁*S
(Wynik drugiej osoby x₂*S itd)


Jaką liczbę podasz?",Dlaczego wybrałeś akurat tę liczbę? (podaj tok rozumowania)
2026-01-06 01:08:28,9,"Zakładam że każdy zostanie w zakresie od 1-10 aby nie sprawic że liczba będzie ujemna, raczej inni (jeśli też będą chcieli maksymalizować wynik) wybiorą 8 albo 9, może niektórzy 10. Jeśli trafi się jakiś wariat który wybierze np 100 to i tak nie ma znaczenia bo jakaz jest różnica między -400 a -450 (oczywiście 50 ale w procentach to mała różnica), jeśli wariat się nie trafi i nie zejdziemy na minus to liczba jaką wybieram ma znaczenie. Założenie że wartością średnio wybierana przez ludzi będzie 5 jest nie mądre ponieważ inni też będą chcieli maksymalizować wynik, wiec wybiorą liczbę z zakresu 8-10. Moje rozważanie jest pomiędzy 8 a 9, biorę większe ryzyko (9), bo nie chce mi się myśleć o nie liczbach naturalnych."
2026-01-06 01:15:28,6.0001,Ponieważ wszyscy dadzą powyżej 11 raczej
2026-01-06 09:18:26,0,Podanie zera o ile jest to legalna zapewnia 0ptk mam rozumieć ze wszyscy znają zasady gry wiec będą chcieli wynik jak najbardziej obniżyć wiec 0 daje 0 zawsze rozwazanie liczby ujemnej ma sens o ile wszyscy rzucamy liczby w tym samym momencie wtedy gracze nie mogą wyliczać wyniku na bieżąco i podać liczbę zaniżającają moj stan ptk
2026-01-06 10:10:34,-67,"bo 67 to fajna liczba, a zakładam że inne osoby dadzą +67 i potem warto pomnożyć ujemną sumę razy liczbę ujemną aby się udodatnił"
2026-01-06 11:02:07,8.33,równowaga nasha
2026-01-06 11:05:52,8,"50-8*5=10, 10*8... Jest blisko x^6 co jest na ogół dobrym rozwiązaniem w optymalizacji. Jeśli inni gracze zagrają źle,to i tak nic z tym nie zrobię "
2026-01-06 12:01:38,10,Statystycznie będzie git 
2026-01-06 12:17:24,14,nie pofiem 
2026-01-06 12:50:34,5,Bo kazda wieksza maksymalizuje szanse na przegrana
2026-01-06 13:05:12,-100,"Myślę, że wiekszość graczy da liczbę dodatnią, przez co ostatecznie suma wyjdzie ujemna, dzieki czemu mój wynik będzie dodatni "
2026-01-06 13:08:57,1,"Przejdzie na liczby ujemne i wtedy wszyscy będą mieli wysoki mnożnik, co sprawi że będą mieli niski wynik, a ja nie"
